,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Baseline Date Range,Baseline Mean Travel Time (Seconds),Baseline Range - Lower Bound Travel Time (Seconds),Baseline Range - Upper Bound Travel Time (Seconds),Comparison Date Range,Comparison Mean Travel Time (Seconds),Comparison Range - Lower Bound Travel Time (Seconds),Comparison Range - Upper Bound Travel Time (Seconds),Mean Difference,Percent Difference,Baseline Mean Travel Time (Minutes),Comparison Mean Travel Time (Minutes),Base Start,Base End,Comparison Start,Comparison End
67,1277,"300 Hayes Street, Civic Center, San Francisco",452,"1200 Green Street, Russian Hill, San Francisco",3/22/2020 - 3/29/2020,304,224,411,3/1/2020 - 3/8/2020,455,310,667,-151,-33.19,5.07,7.58,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
68,1277,"300 Hayes Street, Civic Center, San Francisco",457,"3100 West Street, Hoover - Foster, Oakland",3/22/2020 - 3/29/2020,764,636,917,3/1/2020 - 3/8/2020,1030,748,1416,-266,-25.83,12.73,17.17,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
69,1277,"300 Hayes Street, Civic Center, San Francisco",458,"900 Webster Street, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,894,716,1115,3/1/2020 - 3/8/2020,1105,799,1528,-211,-19.1,14.9,18.42,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
70,1277,"300 Hayes Street, Civic Center, San Francisco",463,"2000 Bancroft Way, Downtown Berkeley, Berkeley",3/22/2020 - 3/29/2020,1172,1054,1302,3/1/2020 - 3/8/2020,1585,1199,2094,-413,-26.06,19.53,26.42,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
71,1277,"300 Hayes Street, Civic Center, San Francisco",464,"1600 Fairview Street, South Berkeley, Berkeley",3/22/2020 - 3/29/2020,1021,879,1184,3/1/2020 - 3/8/2020,1248,926,1681,-227,-18.19,17.02,20.8,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
72,1277,"300 Hayes Street, Civic Center, San Francisco",467,"16300 Helo Drive, San Leandro",3/22/2020 - 3/29/2020,1502,1390,1622,3/1/2020 - 3/8/2020,1772,1394,2251,-270,-15.24,25.03,29.53,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
73,1277,"300 Hayes Street, Civic Center, San Francisco",475,"1500 Lacassie Avenue, Walnut Creek",3/22/2020 - 3/29/2020,1617,1446,1807,3/1/2020 - 3/8/2020,1952,1525,2498,-335,-17.16,26.95,32.53,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
74,1277,"300 Hayes Street, Civic Center, San Francisco",477,"0 Tara Road, Northwood - Tara, Orinda",3/22/2020 - 3/29/2020,1182,1007,1386,3/1/2020 - 3/8/2020,1487,1144,1932,-305,-20.51,19.7,24.78,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
75,1277,"300 Hayes Street, Civic Center, San Francisco",478,"100 Eagle Court, Birds, Hercules",3/22/2020 - 3/29/2020,1363,665,2791,3/1/2020 - 3/8/2020,1968,1411,2743,-605,-30.74,22.72,32.8,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
76,1277,"300 Hayes Street, Civic Center, San Francisco",488,"0 Oak Gate Place, Pleasant Hill",3/22/2020 - 3/29/2020,1625,1517,1740,3/1/2020 - 3/8/2020,2053,1629,2586,-428,-20.85,27.08,34.22,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
