,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),Mean Travel Time (Minute)
152,1277,"300 Hayes St, San Francisco, CA",915,"300 Dolores Way, Sunshine Gardens, South San Francisco",3/22/2020 - 3/29/2020,923,830,1025,15.38
153,1277,"300 Hayes St, San Francisco, CA",927,"800 Aspen Way, Palo Verde, Palo Alto",3/22/2020 - 3/29/2020,1961,1813,2121,32.68
154,1277,"300 Hayes St, San Francisco, CA",950,"Old Sled Trail, Bolinas",3/22/2020 - 3/29/2020,830,617,1115,13.83
155,1277,"300 Hayes St, San Francisco, CA",954,"2900 Willow Road, San Pablo",3/22/2020 - 3/29/2020,1222,1054,1416,20.37
156,1277,"300 Hayes St, San Francisco, CA",963,"600 Sutter Street, Lower Nob Hill, San Francisco",3/22/2020 - 3/29/2020,279,186,417,4.65
157,1277,"300 Hayes St, San Francisco, CA",964,"2900 Broderick Street, Cow Hollow, San Francisco",3/22/2020 - 3/29/2020,404,226,719,6.73
158,1277,"300 Hayes St, San Francisco, CA",965,"200 Topeka Avenue, Silver Terrace, San Francisco",3/22/2020 - 3/29/2020,651,461,917,10.85
159,1277,"300 Hayes St, San Francisco, CA",967,"1400 32nd Avenue, Sunset District, San Francisco",3/22/2020 - 3/29/2020,634,537,747,10.57
160,1277,"300 Hayes St, San Francisco, CA",968,"3200 Anza Street, Richmond District, San Francisco",3/22/2020 - 3/29/2020,645,560,741,10.75
161,1277,"300 Hayes St, San Francisco, CA",983,"4100 Fairlands Drive, Pleasanton",3/22/2020 - 3/29/2020,2291,2132,2461,38.18
162,1277,"300 Hayes St, San Francisco, CA",1025,"Briones to Mount Diablo Regional Trail, Walnut Creek",3/22/2020 - 3/29/2020,1448,1335,1570,24.13
163,1277,"300 Hayes St, San Francisco, CA",1030,"5300 Lawton Avenue, Shafter, Oakland",3/22/2020 - 3/29/2020,862,724,1025,14.37
164,1277,"300 Hayes St, San Francisco, CA",1031,"1100 Cambridge Drive, Lafayette",3/22/2020 - 3/29/2020,1288,1188,1396,21.47
165,1277,"300 Hayes St, San Francisco, CA",1032,"Shore Trail, Lafayette",3/22/2020 - 3/29/2020,1267,1156,1387,21.12
166,1277,"300 Hayes St, San Francisco, CA",1036,"Wilder Road, Wilder, Orinda",3/22/2020 - 3/29/2020,1119,955,1310,18.65
167,1277,"300 Hayes St, San Francisco, CA",1038,"Kestrel Loop Trail, Rodeo",3/22/2020 - 3/29/2020,1639,1410,1905,27.32
168,1277,"300 Hayes St, San Francisco, CA",1045,"100 Pearl Street, Oakland Ave - Harrison St, Oakland",3/22/2020 - 3/29/2020,847,736,974,14.12
