"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes St, San Francisco, CA","1260","1800 Scott Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",323,237,438
"1277","300 Hayes St, San Francisco, CA","1261","700 Presidio Avenue, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",410,319,525
"1277","300 Hayes St, San Francisco, CA","1265","0 Stoneybrook Avenue, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",435,309,610
"1277","300 Hayes St, San Francisco, CA","1271","200 Bacon Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",398,303,521
"1277","300 Hayes St, San Francisco, CA","1272","500 Moscow Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",666,592,748
"1277","300 Hayes St, San Francisco, CA","1273","200 Naglee Avenue, Outer Mission, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",570,467,694
"1277","300 Hayes St, San Francisco, CA","1275","0 McLaren Avenue, Sea Cliff, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",834,637,1091
"1277","300 Hayes St, San Francisco, CA","1276","1100 Golden Gate Avenue, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",171,82,354
"1277","300 Hayes St, San Francisco, CA","1278","100 Noe Street, The Castro, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",257,182,361
"1277","300 Hayes St, San Francisco, CA","1279","1100 Folsom Street, South of Market, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",239,141,403
"1277","300 Hayes St, San Francisco, CA","1280","300 Church Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",276,194,392
"1277","300 Hayes St, San Francisco, CA","1281","700 Guerrero Street, Mission Dolores, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",320,238,429
"1277","300 Hayes St, San Francisco, CA","1282","1600 Church Street, Noe Valley, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",625,473,825
"1277","300 Hayes St, San Francisco, CA","1291","1500 Balboa Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",544,438,675
"1277","300 Hayes St, San Francisco, CA","1292","1300 Wright Loop, Presidio, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",629,499,792
"1277","300 Hayes St, San Francisco, CA","1293","400 Moraga Street, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",577,481,692
